hotel_id,name,star,rating,review_count,price,address
123335037,全季酒店(昆明北京路永和广场店),3,4.8,912,410,近欣都龙城 · 霖雨桥地铁站
126496238,Clouds April雲和维夏酒店(滇池南亚风情第壹城店),4,4.8,921,352,近昆明老街 · 翠湖公园
129262438,昆明火车站希尔顿欢朋酒店,4,4.8,1080,408,近昆明站 · 万达广场(西山店)
19655337,凯斯特酒店(昆明万达广场店),2,4.8,291,245,近昆明站 · 万达广场(西山店)
91249498,格调·云之宿loft酒店(珥季路地铁站店),2,4.0,428,107,官渡古镇 · 近云南省博物馆
125773505,昆明帕普曼PAPMAN(西山万达店),5,4.9,778,941,近昆明老街 · 昆明站
95034972,麗枫酒店(昆明东风广场南屏街店),3,4.7,3112,445,近昆明老街 · 南屏步行街
60182943,麗枫酒店(昆明火车站店),3,4.7,5881,297,近昆明站 · 火车站地区
97598418,尚蓦民宿(昆明老街塘子巷地铁站店),3,4.5,645,237,近南强街巷 · 昆明老街
125308443,格林豪泰智选酒店(昆明火车站店),2,4.7,2379,260,近昆明站 · 火车站地区
133758345,昆明松赞林卡酒店,5,4.8,46,2881,近海埂大坝 · 滇池海鸥观景点
6154564,梦景·望月庭院酒店(昆明南屏步行街金马碧鸡坊店),4,4.8,4334,517,近昆明老街 · 南屏步行街/金马碧鸡坊
125753813,昆明盘龙希尔顿惠庭酒店,4,4.8,1864,498,昆明同德广场 · 近白云路地铁站
116726466,昆明云舒别院(滇池海埂大坝店),3,4.6,473,155,近海埂大坝 · 迎海路地铁站
112732371,昆明雲栖宿·Loft·轻奢精品美宿(昆明火车站西山万达广场店),2,4.6,790,157,近昆明站 · 万达广场(西山店)
1426446,途途客栈(昆明滇池民族村店),3,4.5,307,120,近云南民族村 · 海埂公园
128217545,龚馆(昆明中心人民西路店),4,4.8,2865,278,近翠湖公园 · 昆明老街
1406094,启帆酒店(昆明火车站环城南路地铁站店),3,4.6,710,167,近翠湖公园 · 昆明老街
